,epoch_40/online_vs0,epoch_40/val_vs0_fqe,epoch_40/val_vs0_q,epoch_40/val_loss,alg,env,policy_level,n_trajectories,State,Created,Runtime,actor_lr,alpha,batch_size,cql_lagrange_thresh,cql_lr,cql_max_backup,cql_min_q_weight,cql_n_uniform_actions,cql_tau,cql_temp,cql_variant,critic_lr,device,gamma,n_gradient_steps,noise_clip,normalize_obs,policy_noise,policy_update_frequency,sac_alpha_tuning,sac_lr,seed,tau,gmm_num_modes,counts/num_batches,counts/num_epochs,counts/num_samples,loss/actor,loss/actor_bc,loss/actor_td3,loss/critic,cql/alpha,cql/loss/alpha,cql/loss/critic1/bellman,cql/loss/critic1/conservative,cql/loss/critic1/total,cql/loss/critic2/bellman,cql/loss/critic2/conservative,cql/loss/critic2/total,sac/alpha,sac/loss/actor,sac/loss/alpha,epoch_40/val_tderror
31,-342159.395646745,-50180.375,-6916.71630859375,0.17819428443908691,cql,industrial,high,999,finished,2021-09-05T19:46:11.000Z,12893,,,512,2.0,0.001,True,10.0,10.0,0.01,1.0,entropy,,cuda:4,0.9594444620077978,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-39.98046875,107940.6796875,40.8125,107981.4921875,107922.453125,39.1484375,107961.6015625,1.0,7743.087890625,0.0,53926352.0
32,-482541.5052919763,-50287.53515625,-38974.9765625,0.7514157891273499,cql,industrial,high,999,finished,2021-09-05T19:39:48.000Z,13632,,,512,5.0,0.0003,False,5.0,10.0,0.005,1.0,kl,,cuda:2,0.9920174582417046,300000,,,,,True,0.0003,8800,,,,0,153600512,,,,,1.0,-114.625,2688529.25,81.984375,2688611.25,2687344.25,147.265625,2687491.5,1.0,37503.1484375,0.0,54777356.0
33,-314196.31865096197,-50214.26953125,-45861.9296875,0.19233696162700653,cql,industrial,high,999,finished,2021-09-05T19:30:40.000Z,10873,,,512,-1.0,0.001,True,10.0,10.0,0.005,1.0,entropy,,cuda:1,0.9936683363523702,300000,,,,,True,0.0003,8800,,,,0,153600512,,,,,1.0,0.0,3874.530029296875,195.21875,4069.748779296875,3821.066650390625,187.90625,4008.972900390625,1.0,45106.21484375,0.0,54573116.0
34,-356170.29108960077,-50243.875,-3656.06884765625,0.1869400590658188,cql,industrial,high,999,finished,2021-09-05T19:17:36.000Z,13719,,,512,2.0,0.001,False,5.0,10.0,0.005,1.0,kl,,cuda:2,0.9282635052750892,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,153600512,,,,,1.0,-19.76953125,34002.40625,19.796875,34022.203125,33990.3046875,19.7421875,34010.046875,1.0,4476.6611328125,,54215524.0
35,-327688.62004440645,-50202.74609375,-9879.9345703125,0.17712295055389404,cql,industrial,high,999,finished,2021-09-05T19:17:04.000Z,12976,,,256,2.0,0.0001,False,10.0,10.0,0.01,1.0,entropy,,cuda:2,0.9701236666091996,300000,,,,,True,0.0003,8800,,,,0,76800256,,,,,1.0,-65.04296875,700.349609375,66.359375,766.708984375,705.6567993164062,63.7265625,769.3833618164062,1.0,10635.626953125,0.0,53979876.0
36,-346786.09051979147,-50037.125,-20807.30859375,0.18741145730018616,cql,industrial,high,999,finished,2021-09-05T17:36:01.000Z,12485,,,256,2.0,0.0003,True,5.0,10.0,0.01,1.0,kl,,cuda:3,0.985427057496964,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-64.01171875,1267.124267578125,64.046875,1331.171142578125,1224.5987548828125,63.9765625,1288.5753173828125,1.0,20808.1953125,,54188280.0
37,-368092.00381245924,-50133.171875,-9515.3271484375,0.2950061857700348,cql,industrial,high,999,finished,2021-09-05T17:30:25.000Z,12571,,,256,10.0,0.001,False,5.0,10.0,0.01,1.0,entropy,,cuda:3,0.9687099966079205,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-10.54296875,1951.754150390625,10.375,1962.129150390625,1792.0616455078125,10.7109375,1802.7725830078125,1.0,10375.912109375,0.0,53734448.0
38,-382928.33073915576,-50173.859375,-17692.8359375,0.2360602170228958,cql,industrial,high,999,finished,2021-09-05T16:58:10.000Z,13415,,,512,5.0,0.0001,False,10.0,10.0,0.005,1.0,kl,,cuda:3,0.9827375879530712,300000,,,,,False,0.0001,8800,,,,0,153600512,,,,,1.0,-113.109375,616525.5625,115.078125,616640.625,616698.4375,111.140625,616809.5625,1.0,18111.6484375,,54363556.0
39,-393093.7291628365,-50277.89453125,-3801.88037109375,0.20207208395004272,cql,industrial,high,999,finished,2021-09-05T16:53:29.000Z,12026,,,256,5.0,0.0003,False,5.0,10.0,0.005,1.0,kl,,cuda:6,0.9296578646604036,300000,,,,,False,0.001,8800,,,,0,76800256,,,,,1.0,-16.650390625,71246.515625,16.7421875,71263.2578125,71355.234375,16.55859375,71371.796875,1.0,4598.916015625,,54235032.0
40,-321655.6828355964,-49574.66015625,-5535.32568359375,0.1834338754415512,cql,industrial,high,99,finished,2021-09-05T16:44:39.000Z,12032,,,256,2.0,0.0001,False,5.0,10.0,0.005,1.0,entropy,,cuda:0,0.9497674539046058,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-23.7421875,528.9842529296875,23.63671875,552.6209716796875,556.5191650390625,23.84765625,580.3668212890625,1.0,6370.2578125,,53315104.0
41,-409055.6151689359,-49586.515625,-7987.8916015625,0.19771064817905426,cql,industrial,high,99,finished,2021-09-05T16:38:14.000Z,12332,,,256,5.0,0.001,True,5.0,10.0,0.01,1.0,kl,,cuda:1,0.9643567641131616,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-25.998046875,457.3917236328125,26.609375,484.0010986328125,449.6094665527344,25.38671875,474.9961853027344,1.0,8924.16015625,,53620320.0
42,-758118.4694352072,-49603.17578125,-5675.21142578125,0.17891211807727814,cql,industrial,high,99,finished,2021-09-05T16:26:24.000Z,12597,,,256,5.0,0.0001,True,5.0,10.0,0.01,1.0,kl,,cuda:4,0.9530979130759732,300000,,,,,True,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-23.138671875,155593.734375,23.0859375,155616.8125,155585.5625,23.19140625,155608.75,1.0,6627.5087890625,0.0,53614428.0
43,-409431.98457134987,-49657.1953125,-22414.990234375,0.26798295974731445,cql,industrial,high,99,finished,2021-09-05T16:25:19.000Z,12008,,,256,2.0,0.001,True,5.0,10.0,0.005,1.0,kl,,cuda:4,0.9867032390286856,300000,,,,,False,2.9999999999999997e-05,8800,,,,0,76800256,,,,,1.0,-63.640625,1114.89501953125,63.2734375,1178.16845703125,961.9293212890624,64.0078125,1025.9371337890623,1.0,23427.669921875,,53891436.0
44,-880143.1594045304,-49594.86328125,-71958.0859375,0.8744325637817383,cql,industrial,high,99,finished,2021-09-05T16:22:39.000Z,12499,,,256,2.0,0.0003,False,5.0,10.0,0.005,1.0,entropy,,cuda:0,0.9964997478607576,300000,,,,,False,0.0001,8800,,,,0,76800256,,,,,1.0,-146.046875,46229.78515625,145.90625,46375.69140625,52082.96484375,146.1875,52229.15234375,1.0,70961.1328125,,54397720.0
